Query,Overlap,Percentage,Spearman coefficient
Query1,3,30.0,-7.5
Query2,1,10.0,1
Query3,2,20.0,-12.0
Query4,4,40.0,0.8
Query5,1,10.0,0
Query6,2,20.0,-57.0
Query7,4,40.0,-4.4
Query8,2,20.0,-8.0
Query9,4,40.0,-6.8
Query10,0,0.0,0
Query11,3,30.0,-13.25
Query12,1,10.0,0
Query13,1,10.0,0
Query14,0,0.0,0
Query15,3,30.0,-14.5
Query16,4,40.0,-6.8
Query17,4,40.0,-4.3
Query18,3,30.0,-4.25
Query19,1,10.0,0
Query20,0,0.0,0
Query21,2,20.0,-28.0
Query22,2,20.0,-1.0
Query23,1,10.0,0
Query24,1,10.0,0
Query25,3,30.0,-17.0
Query26,0,0.0,0
Query27,2,20.0,-57.0
Query28,4,40.0,-6.0
Query29,2,20.0,-16.0
Query30,2,20.0,-64.0
Query31,5,50.0,-2.05
Query32,3,30.0,-11.5
Query33,2,20.0,-63.0
Query34,3,30.0,-5.0
Query35,2,20.0,-84.0
Query36,3,30.0,-23.5
Query37,0,0.0,0
Query38,1,10.0,0
Query39,1,10.0,0
Query40,3,30.0,-16.25
Query41,4,40.0,-10.2
Query42,3,30.0,-8.5
Query43,0,0.0,0
Query44,1,10.0,0
Query45,2,20.0,-3.0
Query46,1,10.0,0
Query47,0,0.0,0
Query48,4,40.0,-2.1
Query49,5,50.0,-2.15
Query50,1,10.0,1
Query51,1,10.0,0
Query52,4,40.0,-2.0
Query53,2,20.0,-25.0
Query54,1,10.0,0
Query55,4,40.0,-5.3
Query56,4,40.0,-7.300000000000001
Query57,0,0.0,0
Query58,3,30.0,-11.5
Query59,3,30.0,-14.25
Query60,0,0.0,0
Query61,1,10.0,0
Query62,0,0.0,0
Query63,5,50.0,-0.3999999999999999
Query64,1,10.0,0
Query65,1,10.0,0
Query66,1,10.0,0
Query67,2,20.0,-49.0
Query68,2,20.0,-7.0
Query69,0,0.0,0
Query70,4,40.0,-3.7
Query71,2,20.0,-4.0
Query72,0,0.0,0
Query73,0,0.0,0
Query74,3,30.0,-14.5
Query75,3,30.0,-11.5
Query76,5,50.0,-2.15
Query77,2,20.0,-9.0
Query78,1,10.0,0
Query79,2,20.0,-39.0
Query80,3,30.0,-7.25
Query81,3,30.0,-0.25
Query82,1,10.0,0
Query83,1,10.0,1
Query84,1,10.0,0
Query85,2,20.0,-51.0
Query86,1,10.0,1
Query87,2,20.0,-16.0
Query88,1,10.0,1
Query89,3,30.0,-10.0
Query90,4,40.0,-10.3
Query91,2,20.0,-16.0
Query92,1,10.0,0
Query93,1,10.0,0
Query94,4,40.0,-4.5
Query95,3,30.0,-21.5
Query96,4,40.0,-6.5
Query97,2,20.0,-71.0
Query98,2,20.0,-12.0
Query99,4,40.0,-9.6
Query100,1,10.0,0
Averages,2.1111090000000012,21.111090000000015,-10.04796975
